Abana,Abana,33.545097,36.224661
Abarim,Abarim,31.7539,35.7152
Abdon,Abdon,33.047808,35.146201
Abelbethmaacah,Abelbethmaacah,33.268526,35.578047
Abelkeramim,Abelkeramim,32.02425,35.82352
Abelmeholah,Abelmeholah,32.35601,35.536929
Abelmizraim,Abelmizraim,31.837062,35.513151
Bethhoglah,Abelmizraim,31.837062,35.513151
Atad,Abelmizraim,31.837062,35.513151
Abilene,Abilene,33.5873,36.09171
Accad,Accad,33.092017,44.129248
Achaia,Achaia,37.983333,23.733333
Achshaph,Achshaph,32.951821,35.173827
Achzib 2,Achzib 2,33.048468,35.102203
across the Jordan,Across the Jordan,31.836321,35.5526
Adadah,Adadah,31.1858,34.96745
Adam,Adam,32.09772,35.564691
Adamah,Adamah,32.7253,35.4382
Adaminekeb,Adaminekeb,32.6105,35.54289
Addar,Addar,30.9522,34.7187
Adithaim,Adithaim,31.7001,34.89532
Admah,Admah,30.965172,35.458374
Adoraim,Adoraim,31.516667,34.983333
Adramyttium,Adramyttium,39.5748,26.9367
Adriatic Sea,Adriatic Sea,42.415,16.3735
Adullam,Adullam,31.65,35
Adummim,Adummim,31.817585,35.361646
Aenon,Aenon,32.398936,35.54351
Ahava,Ahava,33.625197,42.786647
Ahlab,Ahlab,33.02498,35.445447
Ai,Ai,31.916978,35.261226
Ai 2,Ai 2,31.80052,35.809019
Aijalon,Aijalon,31.841174,35.025379
Ain,Ain,34.353071,36.385705
Ain 2,Ain 2,31.370835,34.860665
Akeldama,Akeldama,31.777444,35.234935
Akrabbim,Akrabbim,30.688292,35.263182
Alemeth,Alemeth,31.828406,35.287637
Alexandria,Alexandria,31.227841,29.956924
Allammelech,Allammelech,32.97829,35.182915
Almondiblathaim,Almondiblathaim,31.61465,35.768738
Alush,Alush,28.770015,33.40046
Amad,Amad,33.019337,35.173644
Amalek,Amalek,30.65977,34.835554
Amam,Amam,31.162327,35.057114
Amana,Amana,33.68137,36.055039
Amaw,Amaw,36.654616,38.068879
Ammah,Ammah,31.869005,35.343177
Ammon,Ammon,31.950189,35.924131
Ham,Ammon,31.950189,35.924131
Amphipolis,Amphipolis,40.823225,23.838631
Anab,Anab,31.403888,34.944185
Anaharath,Anaharath,32.607039,35.397389
Ananiah,Ananiah,31.83291,35.219683
Anathoth,Anathoth,31.812913,35.263499
Ancient Galilee Boat,Ancient Galilee Boat,32.844281,35.525166
Angle,Angle,31.777444,35.234935
Anim,Anim,31.373521,35.074552
Antipatris,Antipatris,32.100438,34.946509
Aphek,Aphek,34.066067,35.865801
Aphek 2,Aphek 2,32.104713,34.931979
Aphek 3,Aphek 3,32.778268,35.698749
Apollonia,Apollonia,40.587633,23.353352
Appii,Appii,41.468706,12.993929
Ar,Ar,31.449809,35.593958
Arab,Arab,31.450746,35.045648
Arabah,Arabah,32.029676,35.520995
Arabia,Arabia,27.4,37.7
Arad,Arad,31.280982,35.126366
Aram,Aram,34.85,39.12
Arammaacah,Arammaacah,33.2,36.5
Aramzobah,Aramzobah,33.519299,36.31345
Ararat,Ararat,39.702893,44.29818
Areopagus,Areopagus,37.983333,23.733333
Argob,Argob,33.144,36.136
Arimathaea,Arimathaea,31.832739,35.180163
Arnon,Arnon,31.4288,35.677009
Aroer,Aroer,31.9617,35.9115
Aroer 2,Aroer 2,31.471095,35.822003
Aroer 3,Aroer 3,31.148932,34.984852
Arpad,Arpad,35.136204,36.749488
Arubboth,Arubboth,31.681235,34.976398
